tools	ploidy_het_cov	ploidy_het	ploidy	heterozygosityRates	coverage	accuracy	error rate	missing rate	reads accuracy rate	nHaplotigs per haplotype	nHaplotigs	nHaplotypes	time	RSS	VMS
whatshap polyphase	(3,0.05,10X)	(3,0.05)	3	0.05	10	80.58	2.94	16.48	94.95	11.9	609	51	33.78413016	907145216 	65402318848 
whatshap polyphase	(3,0.05,20X)	(3,0.05)	3	0.05	20	80.19	3.18	16.63	94.68	9.7	495	51	63.16968473	1181835264 	79469273088 
whatshap polyphase	(3,0.1,10X)	(3,0.1)	3	0.1	10	86.31	3.83	9.86	94.4	20.5	1044	51	41.14973912	1209372672 	79483011072 
whatshap polyphase	(3,0.1,20X)	(3,0.1)	3	0.1	20	87.68	2.42	9.9	96.58	13.5	687	51	90.19887983	1276145664 	79574855680 
whatshap polyphase	(3,0.5,10X)	(3,0.5)	3	0.5	10	92.22	3.71	4.07	95.74	82.8	4221	51	145.1015452	1816858624 	80074866688 
whatshap polyphase	(3,0.5,20X)	(3,0.5)	3	0.5	20	93.16	3.49	3.35	95.85	52.4	2670	51	257.4054484	2214875136 	80410492928 
whatshap polyphase	(3,1,10X)	(3,1)	3	1	10	92.45	4.28	3.26	95.23	153.9	7851	51	341.2746659	2578841600 	80775356416 
whatshap polyphase	(3,1,20X)	(3,1)	3	1	20	93.79	3.64	2.58	96.03	98.1	5004	51	474.1534432	3628199936 	81807839232 
whatshap polyphase	(4,0.05,10X)	(4,0.05)	4	0.05	10	74.11	6.25	19.64	83.11	18.9	1288	68	40.22313835	1137061888 	79430860800 
whatshap polyphase	(4,0.05,20X)	(4,0.05)	4	0.05	20	77.52	4.33	18.15	88.54	13.4	908	68	94.8063812	1249169408 	79548661760 
whatshap polyphase	(4,0.1,10X)	(4,0.1)	4	0.1	10	83.21	4.9	11.88	89.29	25.2	1716	68	56.06235461	1255731200 	79525941248 
whatshap polyphase	(4,0.1,20X)	(4,0.1)	4	0.1	20	84.77	3.86	11.37	90.87	18.1	1228	68	128.107288	1378406400 	79677521920 
whatshap polyphase	(4,0.5,10X)	(4,0.5)	4	0.5	10	88.59	5.63	5.78	89.09	100.4	6828	68	198.8344991	1954861056 	80227422208 
whatshap polyphase	(4,0.5,20X)	(4,0.5)	4	0.5	20	91.5	4.33	4.16	92.89	72.5	4932	68	375.2406592	2658525184 	80903729152 
whatshap polyphase	(4,1,10X)	(4,1)	4	1	10	89.65	5.37	4.98	90.64	201.2	13680	68	470.2184777	2918133760 	81101606912 
whatshap polyphase	(4,1,20X)	(4,1)	4	1	20	91.79	4.71	3.5	91.13	135.5	9216	68	758.2973795	4344766464 	82548391936 
nTChap	(3,0.05,10X)	(3,0.05)	3	0.05	10	81.32	5.59	13.09	96.91	16.2	826	51	152.6732607	10087747584 	88600657920 
nTChap	(3,0.05,20X)	(3,0.05)	3	0.05	20	81.1	3.53	15.37	96.57	8.5	436	51	332.128161	18437308416 	96778592256 
nTChap	(3,0.1,10X)	(3,0.1)	3	0.1	10	87.06	4.62	8.32	97.27	13.7	697	51	237.7334757	10729967616 	89284726784 
nTChap	(3,0.1,20X)	(3,0.1)	3	0.1	20	87.61	2.92	9.47	97.56	7.3	370	51	646.5478494	19684024320 	97991323648 
nTChap	(3,0.5,10X)	(3,0.5)	3	0.5	10	93.06	3.32	3.62	98.5	9.5	483	51	886.9623373	15858790400 	94657519616 
nTChap	(3,0.5,20X)	(3,0.5)	3	0.5	20	93.66	2.58	3.76	98.47	5.4	274	51	2694.267797	30555746304 	108746506240 
nTChap	(3,1,10X)	(3,1)	3	1	10	93.75	3.39	2.86	98.47	8.3	424	51	2241.213401	23007588352 	101205426176 
nTChap	(3,1,20X)	(3,1)	3	1	20	94.4	2.55	3.05	98.76	5.2	265	51	6622.913214	42510688256 	120503185408 
