chr-gene-id	gene length (bp)	number HetSNPs	HetSNPs rates
chr02-88225-89304	1080	6	0.005555555555555556
chr02-105328-106996	1669	8	0.004793289394847214
chr02-384867-385406	540	1	0.001851851851851852
chr02-628711-629105	395	0	0.0
chr02-1182655-1183203	549	0	0.0
chr02-1391141-1402431	11291	54	0.0047825701886458245
chr02-1696719-1697180	462	0	0.0
chr02-1786422-1793647	7226	10	0.0013838915029061722
chr02-1805596-1807489	1894	3	0.0015839493136219642
chr02-1853103-1853868	766	0	0.0
chr02-1897893-1901579	3687	24	0.006509357200976403
chr02-2002655-2006478	3824	17	0.00444560669456067
chr02-2026884-2027360	477	2	0.0041928721174004195
chr02-2113947-2118234	4288	1	0.0002332089552238806
chr02-2166212-2169824	3613	22	0.006089122612787158
chr02-2549825-2550298	474	2	0.004219409282700422
chr02-2558349-2558726	378	0	0.0
chr02-2619849-2623575	3727	8	0.0021464985242822645
chr02-2627828-2628202	375	2	0.005333333333333333
chr02-2924813-2925524	712	0	0.0
chr02-2927758-2928628	871	9	0.010332950631458095
chr02-2949381-2950917	1537	0	0.0
chr02-2951318-2951794	477	0	0.0
chr02-3021589-3022311	723	1	0.0013831258644536654
chr02-3220914-3233314	12401	92	0.007418756551890977
chr02-3287081-3288825	1745	1	0.0005730659025787965
chr02-3295641-3297584	1944	7	0.00360082304526749
chr02-3409287-3411968	2682	1	0.0003728560775540641
chr02-3583371-3583919	549	1	0.0018214936247723133
chr02-3585612-3585995	384	5	0.013020833333333334
chr02-3594022-3611911	17890	85	0.0047512576858580215
chr02-3760327-3761735	1409	8	0.0056777856635912
chr02-3761838-3762766	929	7	0.007534983853606028
chr02-3762686-3765826	3141	9	0.0028653295128939827
chr02-3775894-3776284	391	0	0.0
chr02-3791924-3797821	5898	28	0.004747371990505256
chr02-3812805-3818090	5286	26	0.004918653045781309
chr02-3892572-3897354	4783	38	0.007944804515994146
chr02-4164379-4164951	573	0	0.0
chr02-4165083-4165382	300	0	0.0
chr02-4166552-4170974	4423	2	0.0004521817770743839
chr02-4171266-4171937	672	0	0.0
chr02-4202305-4202701	397	2	0.005037783375314861
chr02-4215303-4239176	23874	115	0.004816955684007707
chr02-4355265-4360415	5151	0	0.0
chr02-4360572-4362967	2396	22	0.009181969949916527
chr02-4465876-4473101	7226	32	0.004428452809299751
chr02-4498228-4502772	4545	36	0.007920792079207921
chr02-4844636-4854436	9801	59	0.006019793898581777
chr02-4855727-4863178	7452	51	0.006843800322061192
chr02-4902045-4911680	9636	26	0.0026982150269821504
chr02-5094352-5096365	2014	16	0.007944389275074478
chr02-5127210-5136783	9574	46	0.004804679339878839
chr02-5137154-5137691	538	5	0.00929368029739777
chr02-5137887-5140613	2727	4	0.0014668133480014668
chr02-5157861-5171228	13368	55	0.004114302812687013
chr02-5177056-5177457	402	0	0.0
chr02-5357319-5357711	393	4	0.010178117048346057
chr02-5357842-5359933	2092	10	0.004780114722753346
chr02-5364052-5365038	987	0	0.0
chr02-5368015-5384454	16440	107	0.0065085158150851585
chr02-5389457-5405966	16510	50	0.0030284675953967293
chr02-5406944-5407537	594	1	0.0016835016835016834
chr02-5421262-5421927	666	3	0.0045045045045045045
chr02-5429763-5431193	1431	16	0.011180992313067784
chr02-5450968-5453786	2819	29	0.010287335934728628
chr02-5454932-5455246	315	1	0.0031746031746031746
chr02-5521817-5525293	3477	31	0.008915731952832903
chr02-5557476-5565700	8225	48	0.005835866261398176
chr02-5570508-5570897	390	3	0.007692307692307693
chr02-5571139-5574599	3461	15	0.004334007512279688
chr02-5574690-5584115	9426	60	0.006365372374283896
chr02-5673379-5675126	1748	6	0.003432494279176201
chr02-5763105-5768064	4960	34	0.0068548387096774195
chr02-5887461-5891161	3701	3	0.0008105917319643339
chr02-5892683-5893341	659	0	0.0
chr02-5937438-5941399	3962	49	0.012367491166077738
chr02-5946020-5946526	507	11	0.021696252465483234
chr02-6095232-6095848	617	4	0.006482982171799027
chr02-6104711-6115625	10915	53	0.004855703160787907
chr02-6125573-6126022	450	1	0.0022222222222222222
chr02-6260527-6261160	634	7	0.011041009463722398
chr02-6280724-6281741	1018	6	0.005893909626719057
chr02-6336497-6337338	842	6	0.007125890736342043
chr02-6344243-6344601	359	4	0.011142061281337047
chr02-6349232-6349710	479	5	0.010438413361169102
chr02-6397614-6397949	336	2	0.005952380952380952
chr02-6398127-6398423	297	2	0.006734006734006734
chr02-6421665-6422098	434	5	0.01152073732718894
chr02-6422282-6422578	297	9	0.030303030303030304
chr02-6460236-6464147	3912	0	0.0
chr02-6508502-6508924	423	0	0.0
chr02-6617229-6618702	1474	3	0.0020352781546811396
chr02-6637569-6649823	12255	46	0.0037535699714402286
chr02-6659175-6661270	2096	4	0.0019083969465648854
chr02-6666955-6667998	1044	7	0.006704980842911878
chr02-6668322-6671111	2790	4	0.0014336917562724014
chr02-6671176-6671517	342	0	0.0
chr02-6671623-6672011	389	1	0.002570694087403599
chr02-6683274-6683641	368	2	0.005434782608695652
chr02-6697224-6701017	3794	11	0.0028993147074327886
chr02-6717662-6717952	291	0	0.0
chr02-6719892-6721924	2033	16	0.007870142646335464
chr02-6741810-6743182	1373	12	0.00873998543335761
chr02-6760881-6761423	543	2	0.003683241252302026
chr02-6792794-6803631	10838	61	0.005628344713046687
chr02-6829240-6830460	1221	5	0.004095004095004095
chr02-6849444-6851677	2234	4	0.0017905102954341987
chr02-6863022-6865199	2178	7	0.0032139577594123047
chr02-6875293-6889183	13891	69	0.004967244978763228
chr02-6990465-6991179	715	7	0.009790209790209791
chr02-7034279-7034581	303	1	0.0033003300330033004
chr02-7035427-7037368	1942	12	0.006179196704428424
